"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"165",0.147937473364934,0.0901578110193206,1,0.129341617151864,1,-0.20784242260862,0.174511915756469,1,0.213174309608314,1,2.8716327350672,1,-0.143403534486234,0.152548908072242,1,0.143682643136362,1,2.36555057047348,1,-2.8,0.476726053167597,0.468532735193351,1,0.952,1.78855359754563,1.66478674188471,0.176094679977129,1,2.07069760923963
"48",0.340279082728247,0.107680520463528,0,0.153849841319972,0,0.230321809528779,0.187999254779258,1,0.299482231214877,1,2.90693356526145,0.9,0.255000394465024,0.154293555354246,1,0.168358770713904,1,2.22856754684496,0.9,-3.6,0.672857754069059,0.541741313549847,1,0.944,1.8615488136247,1.72124793073413,0.474142884990505,1,2.09528794584251
"85",0.289812672079012,0.0952659436090781,0,0.160913915703048,1,0.188943786714443,0.236835184742067,1,0.216911675334599,1,4.10258210854106,1,0.172938020458146,0.158213767747773,1,0.21467531199628,1,2.43993896060926,1,-4,0.541326004225222,0.481629413006855,0.9,0.912,1.9885611119117,1.36957020791078,0.388797236415886,0.6,1.66794617574631
"337",0.281568645398728,0.113256902693435,0,0.196441651893367,1,0.0570617686696036,0.225437875895748,1,0.274167993392097,1,3.1690090282496,1,0.11041625599046,0.192521151516922,1,0.224283264454636,1,1.96309329813411,0.8,-3.8,0.538448928279172,0.512984894154737,0.9,0.932,2.08588132735726,1.8283076188586,0.368891708065701,0.9,1.63587629035741
"332",0.208438159285266,0.0903276048439124,0,0.203646287164453,1,0.0272878921301007,0.142856031138359,1,0.203952295163295,1,3.0285865439465,1,-0.0322226546033804,0.121194718060513,1,0.178269160028958,1,2.02294810203183,1,-3.2,0.574343237728288,0.478286653406629,0.9,0.924,1.84165222663126,1.80354213459677,0.269149738536697,0.8,1.30650474087774
"310",0.452182524005996,0.116356436278221,0,0.193604718210287,0,0.209858282522164,0.174607604048647,1,0.251203836748047,1,2.54502385513796,1,0.19990173473718,0.17052093725831,1,0.1974992214281,1,2.23883078706243,1,-3.4,0.699499305243221,0.464874223573321,0.8,0.908,1.82061726413537,1.71718842867913,0.450536144374502,0.6,1.52968680744516
"92",0.14440623637954,0.0832517948465769,1,0.162895837160123,1,-0.0987601261173285,0.159753155977602,1,0.229035221709897,1,2.86100588007296,0.9,-0.0607702630201619,0.134142377575022,1,0.225639075281518,1,2.50100070688664,0.9,-4,0.53797916581455,0.421450669590973,1,0.972,2.02948592235977,2.00959726580893,0.196532545264838,1,2.18570104779832
"179",0.153247266539967,0.0756153327439136,0,0.143293316227223,1,0.0741575939135579,0.204704812875347,1,0.194028738670669,1,3.45477420575898,0.8,0.0156645822241748,0.116458696597256,1,0.194488065226833,1,2.04234616356973,1,-3.6,0.477139420582754,0.630657205711059,1,0.976,2.66142200737137,1.94670707216,0.158767690878373,0.8,1.26760310965664
"472",0.347543009044925,0.0853303443802515,0,0.147991307031166,0,0.167891874006402,0.176444132719303,1,0.244187854898429,1,3.17850069247851,1,0.0596456806054553,0.145429884588122,1,0.171104047199851,1,2.42708605728097,1,-3.2,0.54456626121008,0.506704454761331,0.8,0.964,1.94164867466841,1.63814414376615,0.352614234722121,0.8,1.99543830610108
"469",0.053811073516087,0.102530124715236,1,0.149136357864832,1,0.156862656329816,0.420107176665767,1,0.310335995301908,1,4.51806223151188,1,-0.152144123903851,0.262445339676709,1,0.187194313135994,1,2.49710269673725,1,-3.4,0.554627509267363,0.477896936770816,1,0.976,1.8289910192513,2.08019721415835,0.105223459608323,1,1.93514471223039
