"OLS1Est","OLS1SE","OLS1Cover","OLS1BSE","OLS1BCover","SSC1Est","SSC1SE","SSC1Cover","SSC1BSE","SSC1BCover","SSC1Length","SSC1CPCover","SSC1RegEst","SSC1RegSE","SSC1RegCover","SSC1RegBSE","SSC1RegBCover","SSC1RegLength","SSC1RegCPCover","SSC1RegLambda","OLS2Est","OLS2SE","OLS2Cover","OLS2BSE","OLS2BCover","SSC2Est","SSC2SE","SSC2Cover","SSC2BSE","SSC2BCover","SSC2Length","SSC2CPCover","SSC2RegEst","SSC2RegSE","SSC2RegCover","SSC2RegBSE","SSC2RegBCover","SSC2RegLength","SSC2RegCPCover","SSC2RegLambda","SCPIEst","SCPISE","SCPICover","SCPILength"
3.17622411942464,0.0935024979230799,1,0.171382736107516,1,2.97095428663794,0.121517728453058,1,0.281240052343104,1,2.57,1,3.01022745494575,0.099497249908227,1,0.247989568936175,1,1.97,1,-3.87433065017055,2.84169995491134,0.163274517801776,1,0.305941512868105,1,2.90267381523912,0.247473836566332,1,0.376671902097214,1,2.57,1,2.89504736194384,0.175076841159227,1,0.395485821241288,1,1.97,1,-3.87433065017055,4.53953698975697,0.522767192937962,1,1.97283150127848
3.08227025220255,0.0789816980010817,1,0.230373781847874,1,2.90317950326262,0.0844049206190632,1,0.206861453244248,1,2.23,1,2.90319138078946,0.0843854594936564,1,0.283463937548978,1,2.23,1,-6.99995700089696,3.15375212910031,0.15982426222027,1,0.342919450218536,1,3.25895816215724,0.163537008524171,1,0.362618107660981,1,2.23,1,3.25910939795013,0.163477122047688,1,0.424099149305594,1,2.23,1,-6.99995700089696,4.62226040902498,0.43557598564432,1,1.59484830655567
3.25888565105748,0.101417739375165,0,0.200796795789687,1,3.00365053154768,0.129229602742484,1,0.199687273779549,1,2.72,1,3.03954190649865,0.108102218612899,1,0.232488057083516,1,2.22,1,-3.58126226954711,2.72684258737646,0.173603515474991,1,0.398855400096751,1,2.90828617221687,0.223431566700475,1,0.480995414740907,1,2.72,1,2.83663680375594,0.182409780608184,1,0.46460439632117,1,2.22,1,-3.58126226954711,4.58792768839614,0.511589706666864,1,1.88734271334737
3.22218703959669,0.103388218448693,0,0.198259019653571,1,3.0528761872533,0.112002317901858,1,0.274789887425846,1,2.23,1,3.05289548993097,0.111972403643366,1,0.218235724545074,1,2.23,1,-6.99993866718331,2.75012338745249,0.177722735349302,1,0.356510888664448,1,2.82104587584699,0.217207001622377,1,0.555239499538104,1,2.23,1,2.8210079635793,0.216765926915221,1,0.375829338504389,1,2.23,1,-6.99993866718331,4.52283315516746,0.417686455796972,1,2.10250660470841
3.17797611902774,0.0895812090892009,0,0.179920479385937,1,2.99053709591037,0.0982156960564309,1,0.157859068987941,1,2.46,1,2.9919095800409,0.0961126278066527,1,0.197997500820397,1,2.21,1,-4.29788094539229,2.77972556166575,0.152090826874963,1,0.324819516034891,1,2.76437203867034,0.18026795019845,1,0.298611829895474,1,2.46,1,2.75517480552899,0.16466746355733,1,0.30669211804542,1,2.21,1,-4.29788094539229,4.49750733677016,0.449346421799643,1,1.45171654622116
3.29262816031927,0.0901015417950031,0,0.17678895786201,1,3.10145770763777,0.0967875735648106,1,0.13679872867028,1,2.37,1,3.09476176565243,0.0945028021780191,1,0.174263082960291,1,2.2,1,-3.94653549470844,2.94018844016725,0.156591242666811,1,0.305408702557327,1,3.10811982839711,0.172700489379935,1,0.27423502193776,1,2.37,1,3.08631062941988,0.168779757166561,1,0.346887308459046,1,2.2,1,-3.94653549470844,4.69136841861618,0.471678393338856,1,1.59450560436803
3.1738326904395,0.0992628576978989,1,0.221449020756606,1,3.0510028373955,0.173074469901566,1,0.242630678196841,1,2.67,0,3.05007532362407,0.171123160177598,1,0.209725546168721,1,2.65,0,-6.99994264495372,2.74683776317323,0.173072083861552,1,0.340569656218338,1,2.78403406531538,0.250435605798544,1,0.40798964935764,1,2.67,0,2.78509376124291,0.248539014326573,1,0.40847904057898,1,2.65,0,-6.99994264495372,4.48322356696949,0.470349837528996,0,1.55400293812534
3.26064815646541,0.0976739182030323,0,0.236288599930369,1,3.10106679861774,0.112741138864116,1,0.21118444731298,1,2.53,1,3.09766899762627,0.108485335950707,1,0.267508960195809,1,2.31,1,-4.51670752895963,2.80398250799065,0.173708595645475,1,0.434476828005526,1,2.78152672022619,0.211871615113856,1,0.401489333163464,1,2.53,1,2.82804403289322,0.193358012527479,1,0.469355791147675,1,2.31,1,-4.51670752895963,4.59759615503164,0.436027868522115,1,1.43706254532622
3.06519870723652,0.104919019992802,1,0.238799336434355,1,2.83057403605233,0.124594941503876,1,0.303280283624542,1,2.45,1,2.87038055534836,0.108128830225082,1,0.275272476363805,1,2.09,1,-3.92149355754147,3.08264397804971,0.195252203526437,1,0.411899030137222,1,3.14330066943881,0.209103358997667,1,0.356451579432212,1,2.45,1,3.07609464133466,0.199648774771533,1,0.52696756962089,1,2.09,1,-3.92149355754147,4.5513938347657,0.484798789747938,1,1.64709708649149
3.2177493785332,0.0915166489510278,0,0.201325673271078,1,3.04167203682997,0.115513943558791,1,0.212417094186434,1,3.03,1,3.02290754535353,0.0947037011210968,1,0.29379748898444,1,2.15,1,-3.77248360353544,3.10548327975381,0.161265809470636,1,0.335866467098535,1,3.26551882236879,0.234128272782499,1,0.4678304092944,1,3.03,1,3.14872517119838,0.167864802989799,1,0.390311146797923,1,2.15,1,-3.77248360353544,4.69165585241945,0.480934871954725,1,1.55085259838641
3.05903097369915,0.0980719246274081,1,0.249245820252857,1,2.869725848597,0.114340831518585,1,0.358330620007607,1,2.96,1,2.88527242520984,0.105046230468849,1,0.271047973822347,1,2.16,1,-3.86989146696973,3.35480916796538,0.17354299609636,0,0.303338528203608,1,3.46234449568368,0.283415975724806,1,0.585877548571683,1,2.96,1,3.4486069593572,0.193065645653497,0,0.549858604217542,1,2.16,1,-3.86989146696973,4.65123417697479,0.54846149586482,1,3.26381102765962
3.03083385000979,0.0982193790082913,1,0.202997387773488,1,2.77698854163525,0.112262085535244,0,0.2687040068388,1,2.58,1,2.77784042046018,0.111501151459857,0,0.279186932072922,1,2.54,1,-6.39992778194145,3.01798100404716,0.182242223353113,1,0.427882028740963,1,3.07490194810978,0.264873281290036,1,0.423093579458782,1,2.58,1,3.06870822746107,0.257353021100927,1,0.426642318791738,1,2.54,1,-6.39992778194145,4.45821450713159,0.510509926898074,1,1.53811921296214
3.28904880364535,0.0971343214714628,0,0.270830140197349,1,3.07668982507474,0.116145957292695,1,0.226558184532525,1,2.17,1,3.07679651263793,0.11606604674473,1,0.169828012593592,1,2.17,1,-6.99992111451176,2.93502736704479,0.168667104474863,1,0.57661096239175,1,3.09340311906218,0.20071577744378,1,0.40460667763748,1,2.17,1,3.09324899171609,0.20055655115329,1,0.353970949125106,1,2.17,1,-6.99992111451176,4.6852909149011,0.450212062446593,1,1.47419041912041
