"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"59",1.36053426447484,0.251756873332534,0,0.293452234081052,0,0.173247044442787,0.471479436397165,1,0.776197409466832,1,5.98617671727148,0.9,0.24210820868504,0.457690717600348,1,0.741370579108462,1,5.90565714953794,0.9,-3.8,1.1545313062158,0.401161657064715,0.6,0.79,1.60198264248236,1.14785592895064,1.07329222392374,0.7,3.18459387055004
"442",0.894249004149278,0.178088685071222,0,0.163837388106201,0,0.119547438576261,0.19725945622896,1,0.338160323364036,1,3.38868283289167,1,0.121323876131212,0.197104544847221,1,0.348798591415083,1,3.38644626071841,1,-5,0.786603359219395,0.444098899433666,0.7,0.87,1.6286278205529,1.42490727374635,1.03862265642752,0.7,2.43041121211306
"508",0.556148991147735,0.130569004373065,0,0.137001875764119,0,-0.0702544138667704,0.239491909568447,1,0.268234070486072,1,4.02038646652523,1,5.82627785172818e-06,0.229039904554055,1,0.256937196843234,1,3.8800252217268,1,-3,0.611859804898068,0.33733838106296,0.7,0.78,1.23389649292744,2.27925881741168,0.610404662256439,0.7,2.41358766895499
"158",0.827239430158097,0.194542417846238,0,0.192377889934767,0,-0.100794628026518,0.29832675511362,1,0.535342257199428,1,4.00739907726586,1,-0.0476481216748397,0.293891887223489,1,0.577686466557624,1,3.99155761772777,1,-3.6,0.884351290250608,0.572375755847491,0.9,0.93,2.36165439206252,0.894538636654375,0.883442603958697,1,3.0000658224396
"489",0.818436913623827,0.151556036415599,0,0.188666181726814,0,0.0308089103639793,0.263431681948654,1,0.492916083946383,1,4.20251769189925,1,0.248806995391985,0.240864246972774,1,0.469140726363767,1,3.84310987443617,1,-3,0.731850965330903,0.513993255737404,0.8,0.92,2.3025952958787,1.61961619497798,0.768109121021432,0.7,2.40489226376422
"500",0.70221553677274,0.198297038503007,0,0.196508046641616,0,-0.172247804260238,0.325524348576032,1,0.457952928356077,1,4.56719860804283,1,-0.171242805434293,0.325395740748381,1,0.482167770175665,1,4.56541016670175,1,-5,0.582300570317652,0.488196156218012,0.9,0.94,1.9026179629391,2.44607520797213,0.580683599358994,0.8,2.93287730835526
"306",0.944460693775865,0.181360442740457,0,0.178017651871497,0,0.190533349100412,0.247670541361487,1,0.289058934372521,1,4.47832370224692,1,0.238893169083386,0.243308949807296,1,0.256698760416629,1,4.45948619330499,1,-3.4,0.863355168206487,0.377049324253228,0.8,0.78,1.54344927626874,0.862388773370991,0.837085342078931,0.7,2.23702801783435
"314",0.80506840101044,0.16639606192584,0,0.178150398219227,0,0.178209783365388,0.233855881857119,1,0.349344284370898,1,3.74959735024865,0.9,0.179262882549832,0.233747551919491,1,0.354278275934714,1,3.74733158399029,0.9,-5,0.810177358458855,0.392595853709597,1,0.93,1.49888754052154,0.824607910563057,0.71984126166414,0.9,2.94413457913294
"226",0.79491762539039,0.176611973905309,0,0.182234381942672,0,0.281511594888154,0.175089728851131,1,0.269033157262565,1,3.41705267851771,0.9,0.282264700452938,0.175078534651102,1,0.305982746278943,1,3.41470567585139,0.9,-5,0.82568397175677,0.448399518299805,0.9,0.91,2.01790264811337,0.698507345024539,0.672984362675927,0.9,2.33978842065104
"477",0.637800723773998,0.253100943078969,0,0.266010461111752,0,-0.390643285276926,0.266050338924058,1,0.525922823975988,1,4.8113355691269,1,-0.352951094391944,0.263626586967153,1,0.533999190534511,1,4.74038169679792,1,-3.8,0.58055878240361,0.61677158507215,1,0.97,2.37107331202991,2.1332251787862,0.60850271067353,0.8,2.53532647699986
