"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"23",0.64873814123257,0.121034022219247,0,0.230643321825355,0,-0.165418000621067,0.1453805208426,1,0.450728271301557,1,4.14528879282495,1,-0.134740630734393,0.143851340889917,1,0.451989958153891,1,4.11486889226241,1,-3.6,0.672804998155372,0.333456691698919,0.7,0.772,1.39601807276773,2.77623419161535,0.686085034155218,0.7,2.27587836208095
"453",0.979307815862491,0.108615731042218,0,0.190988236808952,0,0.221914968558849,0.186397798442684,1,0.296168965955198,1,4.13738491223575,1,0.222717466497284,0.186331790102978,1,0.317196993830177,1,4.13730048959284,1,-5,0.903318858134273,0.362109032845235,0.9,0.812,1.35216208596936,1.5125390572286,0.91221944150526,0.9,2.9846959794129
"325",0.834698304121351,0.107869596621785,0,0.214629136006881,0,-0.194453268925221,0.226478636139312,1,0.340215291753404,1,4.75380789038949,1,-0.149751752173365,0.221734695264063,1,0.374475328511972,1,4.67788707838107,1,-3.4,0.765318253151545,0.385553189615708,0.8,0.748,1.33896707350757,2.17510561415488,0.768010759255604,1,2.92952562160584
"14",0.744968456116038,0.0777800062547886,0,0.143712359497994,0,0.150417130235501,0.152681160426555,1,0.282109305181939,1,4.2992166563963,0.9,0.151537743443315,0.152575129478018,1,0.276498472418831,1,4.29543280624855,0.9,-4.8,0.711114236102724,0.365306482935633,0.9,0.884,1.5407343989951,2.83670698783567,0.729430864187989,0.8,2.71621021687114
"192",0.653952697899195,0.117540206991823,0,0.161750877133638,0,-0.212773530722759,0.18331107244873,1,0.23095605463425,1,4.25049501691547,1,-0.208369907360261,0.18307118719559,1,0.252884576638154,1,4.2332311489062,1,-4.4,0.644840135479273,0.411747733963135,0.9,0.948,1.64592997943622,0.773090531577643,0.646107255278332,0.6,2.3708306927804
"50",0.723807658121887,0.0968967885125344,0,0.183734480445867,0,-0.0503316413115575,0.155330042179475,1,0.26990067432226,1,4.78302638980783,0.9,-0.0414811059405791,0.15462607280458,1,0.282628800833554,1,4.76695770400474,0.9,-4,0.747082991241188,0.387303948568904,1,0.892,1.55973784564269,2.95168033905306,0.760460600572562,0.9,2.53492394854007
"272",0.941417667581787,0.142490838849322,0,0.220660944866662,0,-0.0274655299035969,0.217047579841673,1,0.38505327044599,1,4.65310553022769,0.9,0.0506512107385371,0.213737054882817,1,0.33227121336698,1,4.56923236410108,0.9,-3.4,0.812231579813195,0.418556136537241,1,0.94,1.67172583072416,2.25965121056152,0.819526148835499,0.9,3.19025263884277
"49",0.629884883163985,0.118794874208263,0,0.219027198330914,0,-0.224249464367229,0.174890249079331,1,0.360990550146954,1,4.54320852806594,1,-0.223238336668975,0.174807319376893,1,0.386531616646408,1,4.54161406585828,1,-5,0.625304838731358,0.405219252178165,0.9,0.896,1.5742131572488,2.5492175122299,0.653866017614072,0.9,2.88335166608342
"119",0.844417824799308,0.124575251132112,0,0.209693234853038,0,-0.312807730549769,0.238746301600563,1,0.329901796815399,1,5.56351465987361,1,-0.225110875697197,0.229872635529624,1,0.350620544109049,1,5.37450598581549,1,-3.2,0.690184923830864,0.417247431097002,0.9,0.912,1.67249367759131,1.86349315810931,0.691682264773207,0.8,2.81259260194322
"479",0.89342522333081,0.120439664812041,0,0.203573750553913,0,0.0215641760021938,0.182599882610518,1,0.282750715918607,1,4.26296729403037,1,0.0228671775432625,0.182514603877714,1,0.262523578380366,1,4.26255784566481,1,-5,0.747298707981398,0.330094897744894,0.9,0.78,1.28528077282331,0.748173750938676,0.748153699016837,0.6,2.32466155380201
"407",0.951923712633096,0.101438741436348,0,0.15582497732486,0,-0.344352401749959,0.237109257197985,1,0.27249460242497,1,5.52723010191253,1,-0.244326763291972,0.226451888077029,1,0.264693032845404,1,5.20082522187605,1,-3.2,0.751257991388989,0.403483414165842,0.9,0.928,1.63523240890096,1.57865034691522,0.749357813300045,0.6,2.3381427635377
"278",0.825012571618406,0.118349979400861,0,0.23746454968337,0,-0.182850850389074,0.212082203690841,1,0.410570875128961,1,4.82881934709627,1,-0.181124720202535,0.211962263526606,1,0.45564833259454,1,4.82914197032612,1,-5,0.756170422968212,0.434203542053969,0.8,0.928,1.60235492084128,2.26935303994101,0.770913767101458,0.6,2.80884957098851
"444",0.90266893340721,0.10421976784146,0,0.219937666686524,0,0.141360358655736,0.17484105174885,1,0.461982811555142,1,3.92513424751026,1,0.215357456151824,0.171068726018465,1,0.41531832916501,1,3.80284322586908,1,-3.2,0.804126974435459,0.421327396917945,0.9,0.932,1.65681181250076,2.58599220057802,0.818137644735285,0.9,3.04542896223653
"190",0.896964598531602,0.104148052191882,0,0.196677323883415,0,0.0550843544988844,0.197993056012623,1,0.352914867358793,1,4.90810440551642,0.9,0.0795738783674276,0.195667523212811,1,0.307908605908195,1,4.86816650278062,0.9,-3.6,0.810248182194395,0.35965164063278,1,0.868,1.40907319567169,2.91562983492038,0.810317607290784,0.9,3.34199370209915
"220",0.564529589674443,0.128657133255558,0,0.199695299934445,0,-0.399149905096046,0.219202395457753,1,0.375463783976298,1,4.21385426545089,0.9,-0.397513552604281,0.21910349158816,1,0.39758654454668,1,4.21039565407197,0.9,-5,0.534032488299158,0.463128170310098,1,0.98,1.79929054036625,0.537927289665676,0.534030189226235,1,3.04994409298375
"68",0.895422251864754,0.120537505122164,0,0.200204344033344,0,0.212740360571939,0.169139473872827,1,0.272001451437031,1,4.82368592073353,1,0.274818367385256,0.164699577741601,1,0.315600588270873,1,4.74870766392846,1,-3.2,0.820347010124889,0.450457843228246,0.9,0.92,1.87510886593424,0.810588448785198,0.809721060038379,0.9,3.24609863982955
"243",0.794300894257209,0.107157597939053,0,0.190065535520939,0,0.0138035248606494,0.158252575020733,1,0.27442343155958,1,4.08098597709439,0.9,0.100130910199754,0.152623864558794,1,0.251072748458294,1,3.83609237699836,0.9,-3,0.736912805429651,0.482321684533077,1,0.928,1.89070256182897,0.735331971381521,0.652023061659001,1,2.8562916144175
"254",0.785807256311186,0.0949601695240215,0,0.186958115608283,0,0.245375970784561,0.120167628231339,0,0.194249746344159,1,4.1645620290897,0.9,0.295623439392335,0.117300032586452,0,0.185974933263801,1,4.09628028330154,0.9,-3,0.689716393964503,0.349721831502185,0.7,0.86,1.38861712291427,2.11709743877685,0.682247702246745,0.9,2.18298557384664
"108",0.848146137703429,0.114557033441504,0,0.178746243646779,0,-0.153795636845194,0.186231502364059,1,0.293997876666002,1,4.84991494685364,1,-0.152392376168775,0.186158790000192,1,0.297466448071772,1,4.85114484623192,1,-5,0.76077314035032,0.393098303998907,1,0.872,1.47222582892245,2.03565648669141,0.847022116828327,0.9,3.17394516797766
"87",0.968174337050266,0.0989123266017345,0,0.145613411557496,0,0.360441138948054,0.136712418758242,0,0.247181356563539,1,3.88153255991015,1,0.361475393684102,0.136640815555707,0,0.232841743824943,1,3.88097531758491,1,-5,0.891214005009978,0.342087603784996,0.9,0.776,1.40972511967138,1.76030398983862,0.89199706923264,0.7,2.22231356662624
