"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"81",0.52728040535421,0.250705478776461,0,0.424036322421071,1,-0.639200290543866,0.67268110659197,1,0.977997538738285,1,4.58876890167681,0.9,-0.295841784495679,0.597702599232718,1,0.435414928271173,1,3.21480837993602,1,-4,0.759565010782735,0.672603114662591,0.9,0.94,2.57011741814786,1.6023242466852,0.682534116580086,0.5,1.68462296509927
"337",0.395777124171245,0.425053323623978,1,0.640663990456276,1,0.112978751474189,0.635836489292782,1,0.930524912583942,1,3.67370891540557,1,0.0988239042646288,0.626473058825905,1,0.868807233255515,1,3.66248321424379,1,-5,0.537944668427651,0.574876454183299,0.9,0.96,2.2169080739356,2.14150486747479,0.496505046386034,1,2.46309999335364
"301",-0.213251456586441,0.177014234807133,1,0.292392788241369,1,-0.370881761437766,0.444306059498074,1,0.531859062086379,1,2.28823456991245,0.9,-0.493130673485973,0.312622514806918,1,0.333524020499029,1,2.06094687684444,0.8,-3,0.413817868821373,0.674670507896786,0.9,0.96,2.60114556066414,2.06062139227629,0.161751317166308,0.9,2.49136190244434
"57",0.281256169602623,0.2038269633443,1,0.349827024916118,1,-0.119458527213189,0.418086181215459,1,0.599923542110123,1,2.59988774332059,1,-0.0413461455650319,0.40469308868729,1,0.518529209110127,1,2.3996316528399,1,-4,0.604376700325732,0.491604520904682,0.8,0.92,1.99522052372724,1.32335876972857,0.564004650865373,0.8,2.52858293912152
"518",0.165069430737233,0.294753430951894,1,0.370474881383176,1,-0.150336951616573,0.432052249646948,1,0.59200114796382,1,3.40376870939334,1,-0.128512569366071,0.411836289474217,1,0.579133582539722,1,3.22280126573296,1,-4.2,0.452467342672275,0.903796473877352,0.9,0.98,4.11341924099785,1.64614493999248,0.311373772917226,0.8,2.95062542788259
"1",-0.0515915979887254,0.214865887762563,1,0.275369258121555,1,-0.535985102242385,0.583569870170807,1,0.562182472691464,1,2.49061717546194,1,-0.438612511875693,0.539849048033817,1,0.417933315768616,1,2.37241383230049,0.9,-4.2,0.552186163410248,0.791389842028841,1,0.94,3.13197161240223,1.91091783663794,0.273799409383949,0.8,2.07949173647623
"259",0.00924780750546805,0.174716774371539,1,0.326195264180313,1,0.0777551369926819,0.253672749517162,1,0.434229424325767,1,2.16800270993442,0.9,0.074848790504622,0.252449837898535,1,0.377277973212961,1,2.16053197444079,0.9,-5,0.437014885444444,0.693166645180968,1,1,2.55952872198231,1.51511539349904,0.0445340133543297,1,2.07871831443453
"487",0.308872038376215,0.232884696481113,1,0.480182456347991,1,-0.012031093164623,0.403706724664089,1,0.475910025462543,1,4.68484343924459,1,-0.0542690281534997,0.319806847978989,1,0.349255451985963,1,3.17998439647332,0.9,-3.2,0.607814139655487,0.773935833739473,0.9,0.98,3.46183715839588,1.25725390083746,0.52522730394364,0.8,2.7551243958584
"262",0.18901133293606,0.238396813098839,1,0.335089669311824,1,-0.0438260649581439,0.38362223034222,1,0.691303817370903,1,3.45779526140128,1,-0.0123645387433271,0.377800954481047,1,0.408200484858661,1,3.03135518858206,1,-3.6,0.513576257440295,0.602425941406528,0.8,0.9,2.52685291685868,2.55226976240929,0.34393145809838,0.8,2.60696385282015
"122",0.167311868918552,0.180632047895173,1,0.412684457193465,1,0.404581960350208,0.37812076142761,1,0.531949407332212,1,3.9338583211039,0.9,0.390879725530649,0.36434850085342,1,0.61029052845129,1,3.77472572620846,0.9,-5,0.666190587675304,0.861049897660756,1,1,3.74743016384498,2.64010696589591,0.174728220016116,1,2.4141246564537
"59",0.473342155464192,0.162886289172046,0,0.28245686347234,1,0.35483279026388,0.254937910117382,1,0.440254991643568,1,3.34516966363433,1,0.347774421727365,0.183524722935041,1,0.310153490170663,1,2.27011356960875,0.9,-3.2,0.461840306670227,0.54505103567346,0.9,0.92,2.16777499348606,1.64824686588876,0.427850088754755,0.7,1.85934460005637
"356",0.260590610731159,0.123569891714242,0,0.209909330387653,1,0.396045284198468,0.256270436240681,1,0.331086580385134,1,2.59330473258758,0.9,0.263419755399981,0.185081363340803,1,0.249530282338657,1,1.90938539179815,0.9,-3.2,0.640213295499575,0.538544816467761,1,0.96,1.91105234260073,1.90403417531161,0.303873581872513,0.8,1.3721923540813
"71",0.278171354881353,0.149150326383721,1,0.30204098564072,1,0.327398530314539,0.241938489963974,1,0.480221949990324,1,3.40209481544701,1,0.178485979095982,0.190121060439662,1,0.322393367599942,1,2.54410114873903,1,-3.2,0.539817623192749,0.532395578529163,0.8,0.92,2.00594148675696,1.71078957182513,0.443211968576888,0.8,1.93090385501676
"35",0.278617868654311,0.185947149884108,1,0.333662622488676,1,-0.179182406488072,0.41904966398555,1,0.609531425602123,1,4.36970425456181,0.8,-0.0435686374700328,0.399592547858317,1,0.413262701575561,1,2.78541823196713,0.9,-3.6,0.399101621504123,0.809327191534897,1,1,3.22281982787538,1.70948145311185,0.341013783134279,0.9,1.63594574792879
"257",0.0918784815837093,0.180364940085259,1,0.274375072239463,1,-0.12412997846485,0.212532924696356,1,0.335908845965634,1,2.97966802702279,1,-0.124112544669563,0.21218662367149,1,0.351839090086981,1,2.93281224827904,1,-5,0.678898431685901,0.584873422656847,1,0.98,2.2024593809162,1.48535192687255,0.323288198597154,0.9,2.33897025729265
"250",0.285079251642917,0.218631365634754,1,0.285731960633173,1,0.87314810424619,0.597272127747717,1,0.719168199041166,1,3.32122386441954,1,0.825143500234959,0.570821434866265,1,0.628887518695186,1,2.812102727026,1,-5,0.667804624278872,0.782725844861187,1,1,3.30153513867121,2.55147218705814,0.378329928645645,0.9,2.61032857445399
"410",0.0203843045554475,0.167812233975181,1,0.537385691354486,1,-0.386888622812933,0.283451756208436,1,0.517372706304126,1,3.03463622140782,1,-0.183569301616011,0.203190178880739,1,0.398970243517958,1,2.03173162673497,0.8,-3.2,0.338677140839333,0.44991264193748,0.8,0.74,1.86481982972675,1.64144220693695,0.185002336532743,1,2.13192484739464
"414",0.088978616888661,0.167526204705179,1,0.282027771988539,1,-0.38255316624104,0.307438044162829,1,0.473269519154619,1,4.02255913319011,0.9,-0.36408679290385,0.294445065468503,1,0.383695112197738,1,3.18737558367805,0.9,-4,0.453414570955573,0.622926232560327,1,1,2.23847802431707,1.52435505419746,0.317601825614856,1,2.10811538391395
"41",0.0358131668310486,0.318326533556053,1,0.451853270707337,1,-0.771272178951854,0.483080830919668,1,0.734658002986922,1,2.97711739013693,1,-0.708666572061417,0.48223566969249,1,0.690968143129412,1,2.70609506661045,1,-4.2,0.669350037040683,0.715837286223335,1,0.98,2.82161172761114,1.93013895206401,0.520698158317619,0.7,1.97829608370314
"384",0.238249138102202,0.139527151080961,1,0.260459231157676,1,0.134035103331352,0.463279888048639,1,0.491416445814742,1,3.99822130294179,1,0.162371172130613,0.333476822538507,1,0.343440425336552,1,3.03620808043805,1,-4.2,0.506300338775342,0.554795406360762,0.9,0.96,2.52712816386172,0.466134461174075,0.35324425691231,0.9,2.59683974749368
