"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"276",0.242859933512971,0.176378348698514,1,0.26308862420581,1,0.182949503656345,0.321322066179272,1,0.336315276355574,1,3.97951905362954,1,-0.0135880517120253,0.250518024889485,1,0.292212865259936,1,2.03534029796607,0.9,-2.2,0.345565930782954,0.53977602053409,0.9,0.95,2.13539802392616,1.11245154271166,0.28453361065805,0.9,1.93383557536617
"301",0.49690391288156,0.177666442750086,0,0.192385209638232,0,0.263414075893146,0.24722691052669,1,0.267051104200173,1,2.0731430916528,1,0.271621196420986,0.189357214574865,1,0.164307505598278,1,1.65124505700588,1,-2.4,0.622652934299907,0.607804110747874,1,0.93,2.12060160266877,1.41728226541417,0.535341006619588,1,2.16545219433535
"397",0.0835170745914704,0.121352736141697,1,0.121274456485778,1,-0.0777735913303372,0.201069142780147,1,0.334440485838314,1,2.583624933152,1,-0.059793647170681,0.188859387097002,1,0.237046183917375,1,2.03582279042724,1,-3,0.126112671928342,0.512039488834713,1,0.99,1.84994447404824,0.773228841080972,0.0367463462250406,0.9,1.95304775820315
"492",0.376858516376276,0.140625551456353,0,0.142214876775252,0,0.237611126994557,0.226875202036894,1,0.264741104673587,1,3.58552276215067,1,0.17000922681549,0.166616610037717,1,0.163908436514192,1,2.53750684796359,1,-2.4,0.443000015987641,0.540716124879161,0.7,0.95,2.07605222498482,1.0040863903122,0.388676323023575,0.5,1.67940336273471
"94",0.245960777848422,0.170503919093796,1,0.196295077885914,1,-0.469678923571818,0.548630258593353,1,0.437700822952348,1,4.07745748425007,0.8,-0.0747508108513211,0.356485791776547,1,0.235928617000436,1,2.40267493815575,1,-3,0.256284554078018,0.371819729817465,0.9,0.9,1.52252439142399,1.20859306359761,0.193347075587586,0.8,1.76625555352306
"157",0.493421580499578,0.193411228763638,0,0.238245460952277,0,0.0758556691064323,0.148296600912778,1,0.215285017406881,1,2.64846912489661,1,0.0756958408634247,0.154603113355943,1,0.22122725512869,1,2.5715558455986,1,-4.4,0.415922466732138,0.432476079448858,0.8,0.92,1.81621224223369,1.28173486871968,0.412809162990373,0.8,2.00346316639969
"462",0.0427072099937886,0.11761943546776,1,0.134934724492986,1,-0.00687115625924051,0.171535273202107,1,0.192518598236137,1,1.92561769070799,1,-0.00745789508260275,0.165023646123849,1,0.178583301891842,1,1.86269468843677,1,-4.4,0.212096567674318,0.444616438393789,1,0.94,1.80375004778493,0.895071352809152,0.131015563543708,1,1.43528188074878
"501",0.499424822474808,0.201691622449141,0,0.216708496916462,0,-2.99938655476644,5.69904597991331,1,1.47911577193622,0,2.58967069895925,0.8,-0.297304732058627,1.49264368661966,1,0.339098157990488,1,2.42771865590576,0.9,-3,0.341105949934293,0.718648452724422,1,0.99,2.99360810891569,1.3413886027671,0.279358108913312,1,2.19984262051248
"404",0.440399592379834,0.169416373024788,0,0.177914494142617,0,0.214454525008021,0.26404490217006,1,0.372857252610964,1,3.86809945894242,1,0.0390269018395135,0.207292804531488,1,0.165533665555372,1,2.43087399292614,1,-2.4,0.367855002349847,0.481056113176102,1,0.98,1.84334439472142,0.979723418733585,0.36781713732417,0.9,2.25554871493089
"252",0.759959128807351,0.230647789661411,0,0.26743108517621,0,0.111507229252461,0.436337996450119,1,0.431264590188188,1,3.72361110784121,1,0.343430868040651,0.274809224525867,1,0.226794238298825,1,2.11530112238035,1,-2.4,0.520773336635198,0.606756281804826,0.9,0.95,2.44393741447373,1.29024183641601,0.533138224792112,0.9,2.64882876109319
