"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"452",0.190029854546847,0.0680733835062978,0,0.142286371586591,1,-0.0176458419184833,0.144780339358336,1,0.225708611151608,1,3.63060059546258,1,-0.0825979463695257,0.117734600231734,1,0.153246397447129,1,2.69554277353612,1,-4,0.597852392084146,0.489651920284057,0.8,0.928,2.05476165851978,1.59182598570445,0.254443582004074,0.9,2.0534629232579
"318",0.193899814639707,0.0766464221421193,0,0.135242175157055,1,-0.0339647711872066,0.167940815698313,1,0.198929899384955,1,3.51829058337529,0.9,-0.0036552161894603,0.156411755514696,1,0.167162667813187,1,2.72237005801461,1,-5,0.566607308991235,0.495861588991713,1,0.93,2.05725536585656,1.88042173841787,0.243992367382925,1,1.6124934041009
"127",0.183980592560212,0.0734828100766932,0,0.137213061261607,1,-0.0475672295548879,0.248843121822953,1,0.248453425992443,1,3.30468625627501,1,0.00291504030693002,0.219031680942083,1,0.204028087303112,1,2.83661524120647,1,-5,0.622779144535754,0.498414152083102,1,0.91,2.05870234820478,1.78826987932879,0.204326961737057,0.9,1.38934573216274
"176",0.213876137067798,0.0783340471609271,0,0.137420458067089,1,-0.0590339820174979,0.12164711204202,1,0.1982700527039,1,2.47159379137965,0.9,-0.136139607849443,0.104618624400109,1,0.160796291571965,1,2.10512891576148,1,-3.4,0.691507884096942,0.403343074861461,0.9,0.928,1.47815587066044,1.79782885250573,0.299892868029979,0.8,1.60716698991138
"512",0.218928683972628,0.0614693824084078,0,0.119403494076924,1,0.0987323682679211,0.130178909238808,1,0.17321549860562,1,3.23466015670626,1,0.0911782449054064,0.0857506229393638,1,0.141578546900393,1,2.28575212547286,1,-4,0.541083217458106,0.437064322054114,1,0.93,1.71302394094133,1.77881200984408,0.233005137652015,0.7,1.18999697731938
"61",0.292828420726752,0.0742679582753036,0,0.100928654437115,0,-0.0158115528532168,0.202064279089633,1,0.203280793661354,1,2.66825534462739,1,-0.000624286647992633,0.196823786613877,1,0.164535387782342,1,2.53442811755333,1,-5,0.63109672079326,0.543901527078801,1,0.956,1.76505892017453,1.65445977581498,0.367688479908208,1,2.02464439801805
"313",0.0752062340704764,0.0652772856373323,1,0.124504032938866,1,-0.247398860279619,0.161561426973163,1,0.179292964195281,1,4.36303388639721,0.9,-0.229534110406365,0.128911931941113,1,0.145214655881674,1,2.86666512459926,0.8,-5,0.378358190880467,0.454957405606151,1,0.954,1.82109252196469,1.64230458137621,0.0619577965479552,0.9,1.49972520562836
"389",0.164642414004801,0.0780318336648435,0,0.126397504086393,1,-0.12282461209892,0.227197226171674,1,0.270561577443727,1,3.1514109026947,0.8,-0.215579727234481,0.186504157515264,1,0.128036217146307,1,2.408917478113,0.7,-4,0.593025416273142,0.546661860789045,1,0.956,2.35690583919618,1.96144864710353,0.19156143648253,0.8,1.88370684080147
"383",0.326346221581096,0.0833467129378105,0,0.139980327105134,0,0.524140364085651,0.294758171484129,1,0.356069521129809,1,3.70949153524803,0.7,0.46141808299224,0.264464290844167,1,0.261489910781802,1,3.17921775838145,0.7,-5,0.575941217199776,0.563713882621495,1,0.942,2.1374728759822,1.6996074776494,0.358519899792636,0.8,1.58184132713119
"177",0.0596599638339601,0.08559995706257,1,0.146956366012807,1,-0.127687679531909,0.169620426790655,1,0.188644145332679,1,2.26073345157379,0.8,-0.138079790660879,0.166983792646818,1,0.151073552077252,1,2.12133047286772,0.8,-4,0.461386139043533,0.47702750813119,1,0.932,1.89395213796482,1.74920590158746,0.0738512516916945,0.7,1.19730589631257
