"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"403",0.359205561884539,0.0792866158621823,0,0.0858815517152614,0,0.390510548855164,0.193628530219508,0,0.203439874726844,1,2.97440246506487,0.9,0.377541786310028,0.167194417799328,0,0.176542876931309,0,2.53563780340592,0.9,-5,0.566958214676525,0.382194485745053,0.9,0.924,1.45088106790632,1.73864393004694,0.373025759560818,1,1.83797195541968
"186",0.215897675441585,0.0760298251821607,0,0.0875169670681457,0,-0.191421908448413,0.2452700053765,1,0.216313382457302,1,4.46234838856986,1,-0.0837269527115003,0.122838824914439,1,0.103592075346222,1,2.18890519412219,1,-3.6,0.613094998646236,0.430581189614485,0.8,0.938,1.74655839743655,1.75172567435108,0.248354947036429,1,1.68554426067319
"233",0.257367903976958,0.0693770389222563,0,0.0794896563436519,0,-0.00389715121658307,0.233461942516375,1,0.158426269960974,1,4.74348501519674,1,0.0723505057113347,0.137981684758964,1,0.115986507845767,1,2.62596013455701,1,-4.2,0.527985317711349,0.388962371629633,1,0.92,1.45071931463023,1.91794488731897,0.248713602005058,0.8,1.76953985504979
"143",0.136542491696416,0.0649846172529199,0,0.0696493031168304,0,0.0466132593137329,0.152644509012522,1,0.144322857450611,1,4.25599800549151,0.9,0.0118575838865858,0.126277820705808,1,0.127977778447275,1,2.96132215501485,1,-5,0.439244562823349,0.495077629655921,1,0.922,1.89183116909908,1.96123837294387,0.15563885870197,1,1.85234606421088
"25",0.169739261739489,0.0567625314591678,0,0.0539403790913134,0,-0.0185022053502664,0.17240689377305,1,0.134899370734475,1,4.20501774002997,1,0.00660931600224401,0.0955379299304251,1,0.0838128427628902,1,2.12978782861785,1,-4,0.406721496236266,0.426666139257244,1,0.93,1.6226150174934,1.81128051615627,0.150426107091767,1,1.81144360121834
"24",0.274190218502125,0.0739289942361885,0,0.0855070622892051,0,0.0513539760506685,0.146677770583201,1,0.148021554713421,1,2.84580441576138,0.9,0.0742934991793418,0.128104855407789,1,0.11187159091856,1,2.35543521243779,1,-4.4,0.647745718487016,0.377666203307462,0.7,0.878,1.45094765041313,1.68352739856759,0.292278148923762,0.6,1.49684409584106
"222",0.189123902517703,0.0578529205985535,0,0.0662784352939293,0,-0.0576075938791649,0.123543733006527,1,0.148236950500451,1,2.1154439203928,1,-0.0183103805891718,0.122964858208936,1,0.0869181004486234,1,1.95652213638902,1,-3.8,0.515550693281035,0.500615131043084,1,0.938,1.89239577545632,1.91832523286214,0.180325423542732,1,1.48626087599453
"489",0.384416842049407,0.0620651487296422,0,0.0663405671448576,0,0.276492126013637,0.138737584662866,0,0.177161106975527,1,3.75334119178294,0.9,0.18818254874412,0.107750798862174,1,0.112193905148874,1,2.06560895863143,0.9,-3.6,0.656817300813989,0.365149659356269,0.8,0.904,1.44095461971606,1.70122402475037,0.420690617138491,0.5,1.38679383250795
"417",0.178766211742945,0.0781096649082716,0,0.0837980118089152,0,-0.0252448810783754,0.18468409988209,1,0.183826267293243,1,3.581612791465,1,-0.142256432742836,0.119293752604444,1,0.095493427622364,1,2.26470957937599,1,-3,0.569318517355877,0.435036721435992,1,0.962,1.84121057608006,1.73557670855185,0.164328565088518,1,1.90147383366908
"236",0.228753841689659,0.0537107063018204,0,0.0579344282184241,0,-0.00328201259020533,0.119278755182487,1,0.151735303740643,1,3.10017262418409,1,0.00574680136031125,0.0938533352563825,1,0.0870491735852234,1,2.23517996339749,1,-3.6,0.58216238787782,0.421332390788612,1,0.958,1.60184082497425,1.75652170653619,0.244054945751312,1,1.9293598661758
