"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"280",0.158615887244772,0.0851934438119174,1,0.080829857428705,0,0.00977930222292622,0.189434762405817,1,0.256916264105406,1,2.72569438403044,0.9,-0.15579759899958,0.119134986630027,1,0.123516546724573,1,2.40307932604006,0.9,-3.2,0.397381443330097,0.403276939997084,0.8,0.884,1.74280242675199,0.955940657251982,0.261935282529187,0.9,2.03106429343328
"443",0.619679431742648,0.114206616995427,0,0.130797805364654,0,0.638224956754169,0.302974848764168,0,0.4226623251005,1,2.62003246994653,0.4,0.415716580876271,0.260748092175583,1,0.20336359335553,0,2.48320954637219,0.7,-3.8,0.519884698755857,0.523022316586759,1,0.948,2.4751678368249,1.22812005626523,0.515030362635669,0.6,2.18305006620747
"219",0.206219962527112,0.105342977436353,1,0.112049435836757,1,0.253869345446509,0.222697764968048,1,0.257606553065854,1,2.83030946243346,1,0.223504413788547,0.212529250248721,1,0.215921837389717,1,2.74267482466988,1,-5,0.344522543338329,0.543834036800512,1,0.956,2.22804780562217,1.12137154169145,0.249609911590643,1,2.03116749529747
"408",0.398887755780765,0.185616939753664,0,0.195315199204818,0,0.00520153122542633,0.213799186028429,1,0.26136821576328,1,3.31506248284772,1,0.128985853004214,0.153708627265493,1,0.182583271930673,1,2.09095485970743,1,-2.4,0.429858614923125,0.505487290783327,1,0.952,1.87818820547412,1.3904208333585,0.38632595357379,1,1.99131800406456
"283",0.137907862210007,0.0861666074642164,1,0.0904512284557505,1,-0.141489372255464,0.122161480892582,1,0.202594674799843,1,2.54269483015804,0.8,-0.170679137554826,0.114519917445917,1,0.103507163155645,1,2.12493419535478,1,-2.4,0.238177059341835,0.475376579799803,1,0.956,1.93046953131594,0.783073181684068,0.182728081518793,1,2.17321882726052
"503",0.180168520489131,0.0940024782963915,1,0.0963604137491454,1,-0.175175142403715,0.163542895114688,1,0.169440647889819,1,2.42905552587838,1,-0.137113620056772,0.148258580705025,1,0.119471903904548,1,2.13058256523429,1,-2.6,0.308921185404994,0.546651865079562,1,0.968,2.17978074338664,0.97537788851711,0.226888426247581,0.9,1.81591850842558
"372",0.343673529482462,0.0969875267975939,0,0.106927954717685,0,0.382232451490547,0.186624771799577,0,0.240857928078437,1,2.25929442110936,0.9,0.0587841515206646,0.171826295046884,1,0.127831350304524,1,2.01848846757826,1,-2.8,0.349315329593368,0.561066641926062,0.9,0.968,2.54703284037575,1.19878973689051,0.29092970539473,0.9,1.82016834909065
"161",0.199029947456664,0.146324100254939,1,0.157259901322258,1,-0.427269204513828,0.164894908018867,0,0.227879979839443,1,2.66993826185281,1,-0.437977853761383,0.162765215199514,0,0.197152381956324,0,2.61832738356499,1,-4.6,0.22251563930424,0.430007629261765,1,0.956,1.79186834375818,1.11981292778912,0.19523976624215,0.8,2.02333817841935
"201",0.174796255120128,0.101116713475253,1,0.10637279017332,1,0.368931931875557,0.529931890648907,1,0.483794932859937,1,3.39202154373659,0.9,-0.0255938718395199,0.292661119433044,1,0.150316465437722,1,2.05759874957399,1,-3,0.272600705959254,0.532179701818281,1,0.952,2.28110816678453,1.0595735955197,0.169964884284389,0.9,2.14928778340207
"360",0.187939769451897,0.100239606767339,1,0.112272542231786,1,0.101226471176019,0.187877292369931,1,0.227793114289857,1,2.27501635745555,1,0.0867567612953493,0.180272477031176,1,0.185621179751219,1,2.35606416861232,1,-5,0.246086573448041,0.498561990141329,1,0.964,1.93758003147625,1.0494591466205,0.192338380985613,1,1.91174404811201
