"OLSEst","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCEst","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegEst","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIEst","SCPISE","SCPICover","SCPILength"
3.13443345217189,0.178999258871246,1,0.163133482507397,1,3.01750434117917,0.18755024752752,1,0.988948469837696,1,3.82,1,2.98219257744564,0.183561482329667,1,0.321935884777292,1,2.25,1,-3.54206385808661,3.10806510883559,0.839519866255738,1,3.62533458552188
2.75632299278891,0.147620947837329,1,0.187717149576066,1,2.63199986389795,0.292544091623031,1,0.376353820845885,1,2.67,1,2.45199474033495,0.159215698320866,0,0.193322791552304,0,2.41,0,-1.77291640496023,2.52845189766055,0.817337639580701,1,5.32102138125083
2.95805620967198,0.172504138973255,1,0.187233246698555,1,2.65456484907163,0.255164834999031,1,0.268267121284269,1,2.67,1,2.65459937210538,0.25509718047959,1,0.5966764106486,1,2.66,1,-6.99993347899365,2.7584288924885,0.632158895478431,1,2.32359329352894
3.78500700741215,0.222008543423806,0,0.233773495561393,0,3.44407738189429,0.472805647745386,1,0.35075532657685,1,5.61,1,3.67358048248493,0.254401636650534,0,0.360723115420268,1,2.18,1,-2.99137790785545,3.72038209498515,0.886672084448079,1,1.93229691930035
3.55477552234947,0.150464085818954,0,0.198748761059012,0,3.33039311934342,0.169637642952782,1,0.243816676551932,1,2.29,1,3.32842278672778,0.141612093642004,0,0.278917127157553,1,1.75,1,-1.85866016559852,3.47539716465707,0.638617193321768,1,1.56124223247913
2.81044473594463,0.161505217175025,1,0.164166033277313,1,2.60499180790987,0.183008120180496,0,0.225283901938937,1,2.84,1,2.67678509758119,0.171696222277433,1,0.187129092473145,1,1.7,1,-2.06077050233672,2.61936463637104,0.655449105585696,1,2.81871200501229
3.46762410338224,0.23482455307735,0,0.313709681626833,1,2.99908946032686,0.261067754375595,1,0.261013585683052,1,2.61,1,3.0728748063816,0.174401489427323,1,0.221283810030467,1,1.64,1,-1.82780787248022,3.37227292510318,0.849989368099697,1,3.79234903308457
2.9679265151303,0.182083852436177,1,0.166028053045444,1,2.58887396117536,0.339174331160822,1,0.461616328820624,1,3.49,1,2.73012466648951,0.2120479457281,1,0.259737897032539,1,2.32,1,-1.86260878949304,2.88596640487207,0.768956978802601,1,2.10145508618719
2.94564096988098,0.14205967865491,1,0.142890782152742,1,2.72125343396694,0.181774089329268,1,0.320939861923542,1,2.27,1,2.82585584791835,0.156908359967196,1,0.163185917248765,1,1.85,1,-1.84064611505657,2.85157132740656,0.73368631800762,1,2.25107503390166
3.09588727192709,0.17035062257046,1,0.163319213030735,1,2.79699152035613,0.412236986279045,1,0.323360334476164,1,4.53,1,2.87539918297481,0.201031654789842,1,0.309466933261545,1,2.14,1,-3.38849682277558,2.90005335306753,0.75406763582774,1,4.77982644607091
3.0929660319103,0.153304152407582,1,0.177571640615198,1,2.96371585303083,0.188735817864587,1,0.764321979751194,1,2.55,1,2.98541431003985,0.193803090566707,1,0.277617040199142,1,2.27,1,-2.96511973535616,2.98426217345509,0.73612352745305,1,3.14016171512789
3.0672874211681,0.233901883149894,1,0.356192056680459,1,3.09731379591338,0.298061823218039,1,0.462283376537757,1,2.38,1,2.75701926902563,0.185643116046222,1,0.259737841386656,1,2.03,1,-2.03988567156061,2.97584731197874,0.770516243592931,1,2.72855060919091
3.20001226039645,0.21469319727307,1,0.296140460857583,1,3.1575715791645,0.265368248130304,1,0.296633541844714,1,2.25,1,3.12367184143271,0.241445501185588,1,0.286573344630735,1,2.22,1,-4.37540640524151,2.83611356940485,0.687968677403152,1,2.5943495427217
3.0506780643899,0.14748005165356,1,0.14689787201227,1,2.99348739571911,0.183923253451973,1,0.235933237237017,1,1.93,1,2.96450362004889,0.168233539051085,1,0.191137874137846,1,1.9,1,-2.79768472535817,2.88100491122438,0.571761401370326,1,1.88981332681714
3.61469655157067,0.227679040338722,0,0.284029173030962,0,3.6804696929968,0.351916026494302,1,0.338705347950772,0,5.15,1,3.63113673305402,0.242109146475936,0,0.31895684938737,0,2.78,1,-4.09621352816204,3.60345106740341,0.758439727440452,1,2.32547292594146
3.19596814119881,0.136849676480967,1,0.153176122797039,1,3.54479725669669,0.528663290165141,1,0.387248217005696,1,2.78,1,3.03707257316851,0.141200157183313,1,0.15650016859635,1,2.05,1,-1.62207111844238,2.86831769606947,0.692534424591284,1,2.77976315949659
3.42656845003129,0.228046475083119,1,0.295516316442872,1,3.38486251363817,0.249776782403234,1,0.392694406101314,1,2.41,1,3.38343536380387,0.230694380628079,1,0.305587910657054,1,2.26,1,-3.24954959485118,3.40515544900936,0.692119995765373,1,2.46178096525566
2.97745555365386,0.160306842242317,1,0.204479676640103,1,3.10669112774624,0.246016025372153,1,0.269418870971453,1,3.57,1,3.03827053619104,0.203399860733583,1,0.252658889506385,1,2.8,1,-3.63980280453053,2.90334759926755,0.762031130099601,1,1.93287719272101
3.38123371478767,0.166804209136823,0,0.216808004914896,1,2.97498260207403,0.222345549976296,1,0.340842274720642,1,2.15,1,3.01842127459475,0.181939000270619,1,0.235061967085623,1,2.12,1,-1.97877809949508,3.16241064012037,0.955747946355144,1,2.45193527099045
3.34156698510222,0.143488724737121,0,0.10663860819279,0,3.04729467702812,0.242279827571352,1,0.273436823568287,1,2.95,1,3.04730134360516,0.242253942266804,1,0.221708501248775,1,2.95,1,-6.9999196748514,3.150966919266,0.611887398286613,1,1.94472885581565
2.91084290326466,0.172056312838369,1,0.163260042690204,1,2.68336176634458,0.245050547536988,1,0.296048451826993,1,2.65,1,2.70575333163693,0.228420842184123,1,0.220148147917781,1,2.5,1,-4.03053134036155,2.74579539200546,0.670256619047147,1,2.32805274633103
3.01231460085994,0.139005633180731,1,0.189900174588966,1,2.84239931188715,0.237866216256029,1,0.276840699299157,1,3.31,1,2.82057178620979,0.180390236740273,1,0.175701317764185,1,2.14,1,-2.26326928431717,2.92623018777155,0.474249065145287,1,1.66716990698819
3.37509617597657,0.222967301458753,1,0.217388716364777,1,3.38960533473156,0.295602098072021,1,0.49656659354144,1,2.61,1,3.26872646616607,0.255213103578868,1,0.254934806923201,1,2.33,1,-2.91342520742815,3.04104319380778,0.613363530818724,1,2.99958907000588
3.17512987224107,0.150610405344779,1,0.113831563961616,1,3.07406418729786,0.174076132602081,1,0.185127286337592,1,2.47,1,3.04643521684852,0.164403619836093,1,0.21344206884205,1,2.32,1,-2.96198169342864,3.14775941098951,0.60781532271069,1,2.79932414464855
2.95652578792529,0.163080164005078,1,0.183984149144027,1,2.79748168632092,0.186421743496503,1,0.290616271997221,1,2.43,1,2.79354257929409,0.178778972955413,1,0.18825332084261,1,1.71,1,-1.72353873143961,2.86172550272351,0.524707307886917,1,1.93736500690846
2.94644335346282,0.175428660980894,1,0.213498475763251,1,2.71401113904223,0.222324903541498,1,0.162457302335142,1,2.75,1,2.82063549733333,0.180136966017901,1,0.214752473256664,1,1.8,1,-1.80966894619466,2.85831590385066,0.743917522504396,1,2.10629533225291
2.88879601526963,0.157121476739086,1,0.16430332650462,1,3.02434883147838,0.340486054494436,1,0.34688896716024,1,4.47,1,2.91336571997012,0.2295690524055,1,0.321110451113156,1,3.32,1,-4.24964534336484,2.70477848075248,0.611002242569578,1,3.13891072422603
2.97963346982296,0.149703488726561,1,0.166259125285518,1,2.76553110186626,0.168114442639814,1,0.240886152839569,1,2.69,1,2.62137075170827,0.170293238235615,0,0.19898293751299,1,2.17,1,-2.02514753184806,2.91797718320196,0.70100760195088,1,3.09782067725681
3.50734930297905,0.120810794833895,0,0.165566275274926,0,3.45420946715083,0.13012851081131,0,0.179441094702427,0,2.21,1,3.45587701270135,0.129735824002392,0,0.194277589825212,0,2.22,1,-4.69505050194206,3.45533728063049,0.632512469825893,1,1.91980222280356
3.21263718259948,0.173896765484601,1,0.179656481118697,1,3.07454784307332,0.268736192661907,1,0.307869161892893,1,2.6,1,3.07455597652983,0.268722609790112,1,0.384828615740457,1,2.6,1,-6.99993006045136,3.0928789749457,0.662767118574154,1,2.09509482925775
3.23478429067274,0.169563867064465,1,0.176084846505409,1,3.03064886974772,0.231007412895006,1,0.166520585988932,1,2.66,1,3.03671822754629,0.230498658365605,1,0.2804933675053,1,2.64,1,-4.02768494293684,3.06480961737061,0.74373959256537,1,2.36940646368927
