"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"318",0.951342069173567,0.108604126411691,0,0.113062784984358,0,0.210569586293217,0.147237029869684,1,0.179323222451513,1,4.03802625968059,0.8,0.211426843667076,0.147199416138955,1,0.156748329803143,1,4.03470380411701,0.8,-5,0.852946063061272,0.389121899114634,0.8,0.9,1.42093448233332,1.82400475033781,0.85285651151149,0.5,2.25005475811219
"129",1.06722994404889,0.102949692715737,0,0.0992789945681496,0,0.222277838375389,0.169217314238451,1,0.17426204231604,1,4.21778418418278,0.9,0.2399702553031,0.168211214172796,1,0.180378266054421,1,4.11410294445692,0.9,-3.8,0.937739109799143,0.34487995817157,0.9,0.868,1.40302315420708,1.72134474536187,0.937743507313554,0.6,2.51335902992693
"344",0.777847263908203,0.115527941730025,0,0.122110666300299,0,-0.41224714648336,0.226594526382837,1,0.236003328996984,1,4.73082747924959,1,-0.41094146577747,0.226520055024627,1,0.2332687372067,1,4.7313571573065,1,-5,0.580977566944619,0.288415089757982,0.6,0.688,1.10160073448538,2.47224753117463,0.580977811556708,0.9,2.91967102860502
"241",0.768447155331608,0.130956925801667,0,0.12157864376041,0,-0.274792656746372,0.195050441310598,1,0.219592820532789,1,4.50855609317494,0.9,-0.273499312827813,0.194947740568493,1,0.231708995276425,1,4.506081635541,0.9,-5,0.671513525371608,0.442904679560636,0.9,0.924,1.8055098121535,1.89523721472863,0.671513834402896,0.9,2.69198442785227
"157",0.88728166089893,0.118107758814466,0,0.122362912420955,0,0.156138240697671,0.206297590295456,1,0.257842956981869,1,4.46669452095155,1,0.213978499847929,0.19965957415913,1,0.194982432962444,1,4.30711482188311,1,-3,0.862454162868617,0.348818197319293,0.9,0.852,1.40715581909068,2.7200009194032,0.862454667550603,0.8,3.00915941323781
"373",0.747600008142865,0.0927446647433596,0,0.0922078910922948,0,0.0616859482359238,0.165489253663732,1,0.186187206661897,1,3.95788374187245,1,0.0694123308154655,0.164832099256004,1,0.1671832123471,1,3.94532894204092,1,-4,0.763341372687107,0.351582286625577,0.8,0.844,1.40378214508165,2.55326646311849,0.763346494658066,0.6,2.26933277451518
"480",0.669268782166544,0.114494822207081,0,0.115973058399493,0,-0.208642094321283,0.194972758750398,1,0.214617870611969,1,4.72367705430764,1,-0.208039444670968,0.194920700847342,1,0.190082505382761,1,4.71829299255152,1,-5,0.701548773744225,0.341851416213931,0.9,0.868,1.40753161582738,3.04642560524368,0.701548813818706,0.9,2.71646363963494
"119",0.775045642378656,0.10158466375759,0,0.106656561487234,0,-0.171218589222992,0.209880893013741,1,0.217569220861883,1,4.61634177320851,0.9,-0.119741320392333,0.204657465691313,1,0.216300812883132,1,4.32079885404211,1,-3.2,0.678915316462033,0.401562135756965,1,0.944,1.58939066999543,2.53792586465973,0.678907445585263,1,2.98949900516243
"482",0.751800307828062,0.122671391512673,0,0.128974102586414,0,-0.463830720429641,0.23581411536138,0,0.243794831888989,1,5.26190208291949,0.7,-0.456297175644457,0.235146807012462,1,0.242674834165884,1,5.22740799853823,0.7,-4.2,0.652793477656993,0.371753664198423,0.9,0.88,1.58076169605305,2.63340645867668,0.652809322937443,1,3.11940583204997
"195",0.962942908392659,0.13764877200449,0,0.138887160844431,0,-0.318309590717753,0.259964418058043,1,0.2769271166743,1,5.65477174887833,1,-0.294925763804035,0.258132685079434,1,0.282118986198886,1,5.54092215776337,1,-3.8,0.770711142159738,0.303704422574723,0.8,0.788,1.1499853938525,2.26487210487304,0.770714073937445,1,2.89504634701203
