"","OLSBias","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCBias","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegBias","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIBias","SCPISE","SCPICover","SCPI.Cover.F","SCPILength","AbadieBias","ASCBias","ASCCover","ASCLength"
"511",0.810404512392568,0.0767529120140265,0,0.124712271818979,0,-0.0476157984113046,0.133331172663529,1,0.193259606465815,1,4.62346238587957,1,-0.0252640597415379,0.131906726949455,1,0.15194802890048,1,4.5989083781096,1,-3.6,0.699584395605722,0.359579351765666,0.8,0.854,1.42186780153183,0.69488906281819,0.694210379247528,0.7,2.19113835157897
"364",0.758030968583449,0.0772111001643757,0,0.156717645996769,0,0.118688389573096,0.100788325073748,1,0.202059264363129,1,3.56120933734219,1,0.119546685125641,0.100763159200707,1,0.214109226478379,1,3.56090622012065,1,-5,0.728416715593611,0.398237661832445,1,0.908,1.67631324179137,0.832165280523777,0.734918632242714,0.6,2.2210998022315
"124",0.788341645250665,0.0705181765271568,0,0.132663264807557,0,-0.060360150209501,0.116623264390745,1,0.193920217684627,1,4.1966743529661,0.9,-0.0467218236285065,0.115912025598608,1,0.209441338377467,1,4.19674540770089,0.9,-3.8,0.740569320432019,0.372006082689745,0.9,0.82,1.5194180824996,0.740911697373027,0.739090846982933,0.7,2.25112282472452
"473",0.880487933545946,0.080638971026565,0,0.16304845464533,0,0.0214782516721961,0.117456220006608,1,0.20132076076756,1,4.22877233523885,1,0.0223643904979056,0.11741646906833,1,0.223208414063975,1,4.22634021919214,1,-5,0.764036287003073,0.415650578721874,0.9,0.884,1.66677085542624,2.70670602527571,0.766642352789835,0.5,2.35627563076732
"3",0.861965320442339,0.0725603930051387,0,0.128521431516829,0,0.0864929424899392,0.118040332890353,1,0.209787834590884,1,3.94723370314309,0.8,0.0874026598443809,0.117996069439335,1,0.204998832428644,1,3.94504585646962,0.8,-5,0.812599581764712,0.371626377893271,1,0.854,1.41708102131341,0.808656300425882,0.807283830761654,0.6,2.48447492971845
"37",0.831655927576187,0.0729794554703686,0,0.126313836614067,0,0.0355259928584086,0.113531118553928,1,0.186745146889302,1,4.35872660719529,0.9,0.040319858709787,0.113256668007281,1,0.184478793479594,1,4.35598565965869,0.9,-4.2,0.779387866164875,0.337757763741895,0.8,0.794,1.33648467691251,0.771615765106056,0.731747338728174,0.6,2.33512594967766
"219",0.937249537719027,0.0795128654120787,0,0.134173489974222,0,0.035579036345311,0.151505515317629,1,0.271472885435318,1,4.65555726368305,0.9,0.0668570790615224,0.149518817583526,1,0.258332679438072,1,4.59640433878117,0.9,-3.6,0.795821107817408,0.390255900050612,1,0.9,1.50311309728484,1.22485612955839,0.803250975606999,0.9,2.92466867904795
"429",0.867608463701407,0.0851724472585036,0,0.165880202092601,0,-0.0833091555009453,0.161243082735446,1,0.229253933979713,1,4.6652619023013,0.9,-0.0306816567183752,0.158848268249964,1,0.234925772871583,1,4.56299570024597,0.9,-3.4,0.764484603230143,0.396095940693941,0.9,0.914,1.69011105017559,0.784856470276249,0.776157982994278,0.4,2.41375948481921
"335",1.0128534394063,0.0879902443524329,0,0.161223380658047,0,-0.0953336362554777,0.159893499650229,1,0.249245580030551,1,4.82570902842865,0.8,-0.0193908179063085,0.155556965707059,1,0.246454392455597,1,4.69038450496275,0.8,-3.4,0.90416908820585,0.398425487450916,0.6,0.876,1.53044636425857,0.903216590366249,0.90126874401694,0.7,2.40480234336917
"365",0.744566830697824,0.0876669795642033,0,0.176632228483328,0,-0.216028536582442,0.143825952187416,1,0.233403093913035,1,4.88959542280279,1,-0.214908775248007,0.143770997910682,1,0.219868851047343,1,4.88646719108568,1,-5,0.64343748622168,0.343549413783605,1,0.824,1.2884742082102,2.47905810213189,0.653930055142752,1,3.07858061162723
