"Time","SPSC","SPSC_Reg","SPSC_LB","SPSC_UB","SPSC_Reg_LB","SPSC_Reg_UB"
182,0.0427833456658933,0.0330924235934553,-0.0212166543341067,0.104783345665893,-0.0149075764065446,0.0810924235934554
183,0.0434076844672866,0.0332680232335276,-0.0205923155327133,0.105407684467287,-0.0147319767664723,0.0812680232335277
184,0.0313197311259366,0.0444150462233246,-0.0306802688740634,0.0933197311259366,-0.00358495377667534,0.0924150462233246
185,0.0313197311259366,0.0444150462233246,-0.0306802688740634,0.0933197311259366,-0.00358495377667534,0.0924150462233246
186,0.0331206463701816,0.0439767093680601,-0.0288793536298183,0.0951206463701817,-0.00402329063193985,0.0919767093680601
187,0.0269230230785995,0.0395666370185666,-0.0350769769214004,0.0889230230785996,-0.00843336298143338,0.0875666370185666
188,0.0269230230785995,0.0395666370185666,-0.0350769769214004,0.0889230230785996,-0.00843336298143338,0.0875666370185666
189,0.0212411437534419,0.0338847576934089,-0.0407588562465581,0.0832411437534419,-0.014115242306591,0.081884757693409
190,0.0167389731328385,0.0352694082810698,-0.0452610268671615,0.0787389731328385,-0.0127305917189301,0.0832694082810699
191,0.0173716088560312,0.0354473414882346,-0.0446283911439688,0.0793716088560312,-0.0125526585117653,0.0834473414882346
192,0.0118503283059272,0.0367912030392423,-0.0541496716940727,0.0738503283059273,-0.0112087969607576,0.0847912030392424
193,0.0118503283059272,0.0367912030392423,-0.0541496716940727,0.0738503283059273,-0.0112087969607576,0.0847912030392424
194,0.0118503283059272,0.0367912030392423,-0.0541496716940727,0.0738503283059273,-0.0112087969607576,0.0847912030392424
195,0.0046559595798783,0.0295968343131934,-0.0613440404201216,0.0666559595798784,-0.0184031656868066,0.0775968343131934
196,0.0118503283059272,0.0367912030392423,-0.0541496716940727,0.0738503283059273,-0.0112087969607576,0.0847912030392424
197,-0.0301955754705787,-0.00235602682942648,-0.0961955754705787,0.0318044245294213,-0.0483560268294264,0.0456439731705736
198,0.00320457975089727,0.0281454544842124,-0.0627954202491027,0.0652045797508973,-0.0198545455157876,0.0761454544842124
199,-0.00337927543642635,0.0215615992968887,-0.0693792754364263,0.0586207245635737,-0.0264384007031112,0.0695615992968888
200,-0.00653915082808965,0.0174831533765785,-0.0725391508280896,0.0554608491719104,-0.0325168466234215,0.0654831533765785
201,-0.00756999746171072,0.0150509101200873,-0.0715699974617107,0.0544300025382893,-0.0349490898799126,0.0630509101200873
202,-0.0181444097082002,0.00447649787359783,-0.0821444097082001,0.0438555902917999,-0.0455235021264021,0.0524764978735979
203,-0.0181444097082002,0.00447649787359783,-0.0821444097082001,0.0438555902917999,-0.0455235021264021,0.0524764978735979
204,-0.0181444097082002,0.00447649787359783,-0.0821444097082001,0.0438555902917999,-0.0455235021264021,0.0524764978735979
205,-0.0181444097082002,0.00447649787359783,-0.0821444097082001,0.0438555902917999,-0.0455235021264021,0.0524764978735979
206,-0.0126231291580963,0.00313263632259009,-0.0746231291580962,0.0493768708419038,-0.0468673636774098,0.0511326363225901
207,-0.0250754687481338,-0.00931970326744747,-0.0870754687481338,0.0369245312518662,-0.0593197032674474,0.0386802967325526
208,-0.0250754687481338,-0.00931970326744747,-0.0870754687481338,0.0369245312518662,-0.0593197032674474,0.0386802967325526
209,-0.0217343776563119,-0.00837999810758383,-0.0837343776563119,0.0402656223436881,-0.0563799981075838,0.0396200018924162
210,-0.000581470308145704,-0.00123083964342641,-0.0645814703081456,0.0614185296918544,-0.0512308396434263,0.0467691603565736
211,-0.000581470308145704,-0.00123083964342641,-0.0645814703081456,0.0614185296918544,-0.0512308396434263,0.0467691603565736
212,-0.000581470308145704,-0.00123083964342641,-0.0645814703081456,0.0614185296918544,-0.0512308396434263,0.0467691603565736
213,-0.000581470308145704,-0.00123083964342641,-0.0645814703081456,0.0614185296918544,-0.0512308396434263,0.0467691603565736
214,-0.00124496655448425,-0.00141745258785075,-0.0652449665544842,0.0607550334455158,-0.0514174525878507,0.0465825474121493
215,-0.0279008398604113,0.00184642761066112,-0.0879008398604112,0.0340991601395888,-0.0461535723893388,0.0498464276106612
216,-0.000499504802939477,0.00615636287705446,-0.0624995048029394,0.0615004951970606,-0.0418436371229455,0.0541563628770545
217,-0.000499504802939477,0.00615636287705446,-0.0624995048029394,0.0615004951970606,-0.0418436371229455,0.0541563628770545
