"Time","SPSC","SPSC_Reg","SPSC_LB","SPSC_UB","SPSC_Reg_LB","SPSC_Reg_UB"
218,-0.0117626014440946,-0.000127772005493298,-0.0417626014440946,0.0202373985559055,-0.104127772005493,0.103872227994507
219,-0.0363262190731097,-0.0293807029413973,-0.0663262190731098,-0.0023262190731097,-0.133380702941397,0.0746192970586028
220,-0.0304810523608596,-0.0476640574590945,-0.0564810523608597,0.0015189476391404,-0.151664057459095,0.0563359425409056
221,-0.0494810413817293,-0.0682405656018332,-0.0774810413817293,-0.0174810413817292,-0.172240565601833,0.0357594343981669
222,-0.0234505118618946,-0.0724788342092886,-0.0414505118618946,0.0165494881381054,-0.176478834209289,0.0315211657907115
223,-0.0571388842916916,-0.106167206639086,-0.0751388842916916,-0.0171388842916915,-0.210167206639086,-0.00216720663908543
224,-0.105559654915011,-0.150086628515295,-0.121559654915011,-0.0635596549150106,-0.254086628515295,-0.0460866285152948
225,-0.140149797984617,-0.18626050592239,-0.156149797984617,-0.0981497979846171,-0.29026050592239,-0.08226050592239
226,-0.377144976601851,-0.421828589676455,-0.393144976601851,-0.335144976601851,-0.525828589676455,-0.317828589676455
227,-0.369550157985535,-0.424193430131795,-0.387550157985535,-0.329550157985535,-0.528193430131795,-0.320193430131795
228,-0.39692225185634,-0.451440590668568,-0.41292225185634,-0.35492225185634,-0.555440590668568,-0.347440590668568
229,-0.432560306588184,-0.442899514992594,-0.458560306588184,-0.400560306588184,-0.546899514992594,-0.338899514992594
230,-0.412097459515677,-0.40245903510341,-0.442097459515677,-0.376097459515677,-0.50645903510341,-0.29845903510341
231,-0.424825112695003,-0.408473649323634,-0.452825112695003,-0.388825112695003,-0.512473649323634,-0.304473649323634
232,-0.421288501050905,-0.403952346000309,-0.449288501050905,-0.385288501050905,-0.507952346000309,-0.299952346000309
233,-0.408304519055684,-0.409784380041322,-0.436304519055684,-0.370304519055684,-0.513784380041322,-0.305784380041322
234,-0.416488150938775,-0.414556349022221,-0.444488150938775,-0.378488150938775,-0.518556349022221,-0.310556349022221
235,-0.42598109627901,-0.418318790761991,-0.45398109627901,-0.38798109627901,-0.522318790761991,-0.314318790761991
236,-0.535942206756371,-0.419589886842329,-0.557942206756372,-0.503942206756371,-0.523589886842329,-0.315589886842329
237,-0.550315762905584,-0.425341520245412,-0.572315762905584,-0.516315762905584,-0.529341520245412,-0.321341520245412
238,-0.604814315613752,-0.477414476913325,-0.624814315613752,-0.570814315613752,-0.581414476913325,-0.373414476913325
239,-0.681576563036479,-0.541490333157228,-0.699576563036479,-0.647576563036479,-0.645490333157228,-0.437490333157228
240,-0.683099741864695,-0.543710772152858,-0.701099741864695,-0.649099741864695,-0.647710772152858,-0.439710772152858
241,-0.697185509753346,-0.551508989405369,-0.715185509753346,-0.661185509753346,-0.655508989405369,-0.447508989405369
242,-0.704629375033078,-0.554940422575352,-0.720629375033078,-0.668629375033078,-0.658940422575352,-0.450940422575352
243,-0.714253486157855,-0.560287836176014,-0.712253486157855,-0.678253486157855,-0.664287836176014,-0.456287836176014
244,-0.73201681954396,-0.567818166567676,-0.70401681954396,-0.69401681954396,-0.671818166567676,-0.463818166567676
245,-0.741915093239288,-0.573342140650246,-0.709915093239288,-0.703915093239288,-0.677342140650246,-0.469342140650246
246,-0.75126112088647,-0.578277263241532,-0.79726112088647,-0.70726112088647,-0.682277263241532,-0.474277263241532
247,-0.765234532690273,-0.586062466437832,-0.809234532690273,-0.713234532690273,-0.690062466437832,-0.482062466437832
248,-0.776645220576312,-0.591743121146224,-0.816645220576312,-0.716645220576312,-0.695743121146224,-0.487743121146224
249,-0.817868224184175,-0.625672143493892,-0.859868224184175,-0.749868224184175,-0.729672143493892,-0.521672143493892
250,-0.846278482313569,-0.630838304656883,-0.884278482313569,-0.786278482313569,-0.734838304656883,-0.526838304656883
251,-0.858461973390345,-0.634476438473605,-0.892461973390345,-0.782461973390345,-0.738476438473605,-0.530476438473605
252,-0.827758965250372,-0.628378305481936,-0.843758965250372,-0.787758965250372,-0.732378305481936,-0.524378305481936
253,-0.83540437414958,-0.636023714381144,-0.85140437414958,-0.79540437414958,-0.740023714381144,-0.532023714381144
254,-0.843307529787223,-0.642425708950894,-0.859307529787223,-0.803307529787223,-0.746425708950894,-0.538425708950894
255,-0.851244204365369,-0.650362383529039,-0.867244204365369,-0.811244204365368,-0.754362383529039,-0.546362383529039
256,-0.864421225996289,-0.660066798470372,-0.906421225996289,-0.822421225996289,-0.764066798470372,-0.556066798470372
257,-0.875934892631943,-0.671580465106026,-0.917934892631943,-0.833934892631943,-0.775580465106026,-0.567580465106026
258,-0.886474575118937,-0.674354512478748,-0.924474575118937,-0.842474575118937,-0.778354512478748,-0.570354512478748
259,-0.881626875694165,-0.669174345749392,-0.895626875694165,-0.831626875694165,-0.773174345749392,-0.565174345749392
260,-0.895487671537483,-0.681889716494437,-0.907487671537483,-0.845487671537483,-0.785889716494437,-0.577889716494437
261,-0.877875136452634,-0.684678734964491,-0.887875136452634,-0.819875136452634,-0.788678734964491,-0.580678734964491
262,-0.914025558725307,-0.698092625960078,-0.928025558725307,-0.864025558725307,-0.802092625960078,-0.594092625960078
263,-0.930760741555039,-0.722156086290272,-0.944760741555039,-0.878760741555039,-0.826156086290272,-0.618156086290272
264,-0.94918973998081,-0.739445609904855,-0.96318973998081,-0.89718973998081,-0.843445609904855,-0.635445609904854
265,-1.04041951357086,-0.850059886387793,-1.05241951357086,-0.980419513570855,-0.954059886387793,-0.746059886387793
