"Time","SPSC","SPSC_Reg","SPSC_LB","SPSC_UB","SPSC_Reg_LB","SPSC_Reg_UB"
218,-0.00859520216807752,-0.0404961788644513,-0.0465952021680776,0.0314047978319225,-0.0924961788644513,0.0115038211355487
219,-0.0445406272399111,-0.076441603936285,-0.0825406272399112,-0.00454062723991111,-0.128441603936285,-0.0244416039362849
220,-0.0759993151306571,-0.0988398101919037,-0.113999315130657,-0.033999315130657,-0.150839810191904,-0.0468398101919036
221,-0.097056444669418,-0.119896939730665,-0.135056444669418,-0.0550564446694179,-0.171896939730665,-0.0678969397306646
222,-0.115731551765085,-0.138767294865323,-0.151731551765085,-0.0737315517650854,-0.190767294865323,-0.0867672948653229
223,-0.125443631647393,-0.17041878786785,-0.165443631647393,-0.0814436316473928,-0.22241878786785,-0.11841878786785
224,-0.159834804584372,-0.21288037994007,-0.197834804584373,-0.115834804584372,-0.26488037994007,-0.16088037994007
225,-0.186960687597336,-0.247832211740811,-0.226960687597336,-0.140960687597335,-0.299832211740811,-0.195832211740811
226,-0.403253392097605,-0.480197364521427,-0.445253392097605,-0.355253392097605,-0.532197364521427,-0.428197364521427
227,-0.408309046899766,-0.485253019323587,-0.450309046899766,-0.360309046899766,-0.537253019323587,-0.433253019323587
228,-0.438568650911865,-0.515512623335686,-0.480568650911865,-0.390568650911865,-0.567512623335686,-0.463512623335686
229,-0.442869137610974,-0.528069868537736,-0.486869137610974,-0.392869137610974,-0.580069868537736,-0.476069868537736
230,-0.464701737781429,-0.518889264990562,-0.506701737781429,-0.418701737781429,-0.570889264990562,-0.466889264990562
231,-0.477068038353208,-0.52971667543349,-0.517068038353208,-0.431068038353208,-0.58171667543349,-0.47771667543349
232,-0.451446266669992,-0.529100265000549,-0.495446266669992,-0.401446266669992,-0.581100265000549,-0.477100265000549
233,-0.464881758462271,-0.539673961642571,-0.506881758462271,-0.416881758462271,-0.59167396164257,-0.48767396164257
234,-0.455296023238637,-0.542099724366698,-0.497296023238637,-0.405296023238637,-0.594099724366698,-0.490099724366698
235,-0.472162384258722,-0.546694064662718,-0.516162384258722,-0.422162384258722,-0.598694064662718,-0.494694064662718
236,-0.480719352944847,-0.555251033348844,-0.524719352944847,-0.430719352944847,-0.607251033348844,-0.503251033348844
237,-0.498938806529678,-0.555221375690689,-0.540938806529678,-0.450938806529678,-0.607221375690689,-0.503221375690689
